Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x17d62053ee73231a2d497c2cdb3299bf5046eba6e52b7d9ec5159705cf5a6f71","Success","Approve","10656372","2026-04-14 06:54:24","0xe233dbe7df567287eb3bac0e69d83a972208e730","","0xe46fc95d9E16d5D08e9a05d828E1D4026Af780b5","","0 ETH","$0.00","0.00007157"
"0x1391d2712efeed04509006e44edc9fea4fb3d2e219b82f1fe11024c401973535","Success","Mint","10656366","2026-04-14 06:53:12","0xe233dbe7df567287eb3bac0e69d83a972208e730","","0xe46fc95d9E16d5D08e9a05d828E1D4026Af780b5","","0 ETH","$0.00","0.00010498"
